LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI
-20.75,-50.75,2024,1,21.55,29.74,13.56
-20.75,-50.25,2024,1,21.55,29.74,13.56
-20.75,-49.75,2024,1,16.5,29.62,7.27
-20.75,-49.25,2024,1,16.5,29.62,7.27
-20.75,-48.75,2024,1,14.05,29.69,5.29
-20.75,-48.25,2024,1,14.05,29.69,5.29
-20.75,-47.75,2024,1,12.04,30.03,4.41
-20.75,-47.25,2024,1,12.04,30.03,4.41
-20.75,-46.75,2024,1,10.56,30.09,3.62
-20.75,-46.25,2024,1,10.56,30.09,3.62
-20.75,-45.75,2024,1,10.0,29.71,3.59
-20.75,-45.25,2024,1,10.0,29.71,3.59
-20.25,-50.75,2024,1,21.55,29.74,13.56
-20.25,-50.25,2024,1,21.55,29.74,13.56
-20.25,-49.75,2024,1,16.5,29.62,7.27
-20.25,-49.25,2024,1,16.5,29.62,7.27
-20.25,-48.75,2024,1,14.05,29.69,5.29
-20.25,-48.25,2024,1,14.05,29.69,5.29
-20.25,-47.75,2024,1,12.04,30.03,4.41
-20.25,-47.25,2024,1,12.04,30.03,4.41
-20.25,-46.75,2024,1,10.56,30.09,3.62
-20.25,-46.25,2024,1,10.56,30.09,3.62
-20.25,-45.75,2024,1,10.0,29.71,3.59
-20.25,-45.25,2024,1,10.0,29.71,3.59
-19.75,-50.75,2024,1,15.53,29.6,6.44
-19.75,-50.25,2024,1,15.53,29.6,6.44
-19.75,-49.75,2024,1,13.43,29.53,4.63
-19.75,-49.25,2024,1,13.43,29.53,4.63
-19.75,-48.75,2024,1,12.86,29.67,4.32
-19.75,-48.25,2024,1,12.86,29.67,4.32
-19.75,-47.75,2024,1,10.39,29.96,3.64
-19.75,-47.25,2024,1,10.39,29.96,3.64
-19.75,-46.75,2024,1,9.4,29.93,3.23
-19.75,-46.25,2024,1,9.4,29.93,3.23
-19.75,-45.75,2024,1,9.37,29.31,3.33
-19.75,-45.25,2024,1,9.37,29.31,3.33
-19.25,-50.75,2024,1,15.53,29.6,6.44
-19.25,-50.25,2024,1,15.53,29.6,6.44
-19.25,-49.75,2024,1,13.43,29.53,4.63
-19.25,-49.25,2024,1,13.43,29.53,4.63
-19.25,-48.75,2024,1,12.86,29.67,4.32
-19.25,-48.25,2024,1,12.86,29.67,4.32
-19.25,-47.75,2024,1,10.39,29.96,3.64
-19.25,-47.25,2024,1,10.39,29.96,3.64
-19.25,-46.75,2024,1,9.4,29.93,3.23
-19.25,-46.25,2024,1,9.4,29.93,3.23
-19.25,-45.75,2024,1,9.37,29.31,3.33
-19.25,-45.25,2024,1,9.37,29.31,3.33
-18.75,-50.75,2024,1,15.73,29.62,5.29
-18.75,-50.25,2024,1,15.73,29.62,5.29
-18.75,-49.75,2024,1,12.84,28.76,4.7
-18.75,-49.25,2024,1,12.84,28.76,4.7
-18.75,-48.75,2024,1,13.54,28.88,4.91
-18.75,-48.25,2024,1,13.54,28.88,4.91
-18.75,-47.75,2024,1,13.81,29.53,5.13
-18.75,-47.25,2024,1,13.81,29.53,5.13
-18.75,-46.75,2024,1,12.51,29.45,4.6
-18.75,-46.25,2024,1,12.51,29.45,4.6
-18.75,-45.75,2024,1,10.03,28.55,3.41
-18.75,-45.25,2024,1,10.03,28.55,3.41
-18.25,-50.75,2024,1,15.73,29.62,5.29
-18.25,-50.25,2024,1,15.73,29.62,5.29
-18.25,-49.75,2024,1,12.84,28.76,4.7
-18.25,-49.25,2024,1,12.84,28.76,4.7
-18.25,-48.75,2024,1,13.54,28.88,4.91
-18.25,-48.25,2024,1,13.54,28.88,4.91
-18.25,-47.75,2024,1,13.81,29.53,5.13
-18.25,-47.25,2024,1,13.81,29.53,5.13
-18.25,-46.75,2024,1,12.51,29.45,4.6
-18.25,-46.25,2024,1,12.51,29.45,4.6
-18.25,-45.75,2024,1,10.03,28.55,3.41
-18.25,-45.25,2024,1,10.03,28.55,3.41
-17.75,-50.75,2024,1,16.42,29.5,6.35
-17.75,-50.25,2024,1,16.42,29.5,6.35
-17.75,-49.75,2024,1,15.46,28.6,7.56
-17.75,-49.25,2024,1,15.46,28.6,7.56
-17.75,-48.75,2024,1,13.88,28.71,5.61
-17.75,-48.25,2024,1,13.88,28.71,5.61
-17.75,-47.75,2024,1,16.79,29.28,6.4
-17.75,-47.25,2024,1,16.79,29.28,6.4
-17.75,-46.75,2024,1,13.22,29.05,4.75
-17.75,-46.25,2024,1,13.22,29.05,4.75
-17.75,-45.75,2024,1,12.29,28.3,4.89
-17.75,-45.25,2024,1,12.29,28.3,4.89
-17.25,-50.75,2024,1,16.42,29.5,6.35
-17.25,-50.25,2024,1,16.42,29.5,6.35
-17.25,-49.75,2024,1,15.46,28.6,7.56
-17.25,-49.25,2024,1,15.46,28.6,7.56
-17.25,-48.75,2024,1,13.88,28.71,5.61
-17.25,-48.25,2024,1,13.88,28.71,5.61
-17.25,-47.75,2024,1,16.79,29.28,6.4
-17.25,-47.25,2024,1,16.79,29.28,6.4
-17.25,-46.75,2024,1,13.22,29.05,4.75
-17.25,-46.25,2024,1,13.22,29.05,4.75
-17.25,-45.75,2024,1,12.29,28.3,4.89
-17.25,-45.25,2024,1,12.29,28.3,4.89
-16.75,-50.75,2024,1,12.88,29.35,6.61
-16.75,-50.25,2024,1,12.88,29.35,6.61
-16.75,-49.75,2024,1,15.02,28.78,5.56
